TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
11;CC(=O)Nc1sc(nn1)S(N)(=O)=O;CC(=O)Nc1nnc(s1)S(N)(=O)=O ;CC(=O)Nc1nnc(s1)S(N)(=O)=O ;acetazolamide;1;;;1,54;2,67;0,68;1,73;1,34;222,25;151,66;-0,68;-1,10;3;7;7,2;-999;0;0,000;0,613;0,000;0,387;2;0,56;Training;;;;;;
12;CC(=O)OCC/C(/SC(C)=O)=C(\C)/N(Cc1cnc(nc1N)C)C=O;CC(=O)OCCC(SC(C)=O)=C(C)N(Cc1cnc(C)nc1N)C=O ;CC(=O)OCCC(SC(C)=O)=C(C)N(Cc1cnc(C)nc1N)C=O ;acetiamine;1;;;1,85;2,66;0,35;2,17;2,75;366,44;140,78;-0,27;-0,29;2;8;999;6,1;0;0,048;0,000;0,000;0,952;9;0,43;Training;;;;;;
13;CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1;CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1;CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1;acetorphan (racecadotril and ecadotril);1;;Adenot names racecadotril and ecadotril;2,01;2,55;0,36;1,41;2,96;385,48;97,77;2,49;2,49;1;5;999;-999;0;0,000;0,000;0,000;1,000;11;0,31;Training;;;;;;
14;CCC[C@@](C)(O)[C@H]1CC23C=CC1(OC)[C@H]1Oc4c(ccc5c4C13CCN(C)C2C5)OC(C)=O;CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(OC(C)=O)ccc6CC2N(C)CCC34c56 ;CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(OC(C)=O)ccc6CC2N(C)CCC34c56 ;acetorphine;1;;;1,81;1,67;0,25;2,33;3,44;453,57;68,23;2,20;1,42;1;6;999;8,1;0;0,834;0,000;0,000;0,166;6;0,79;Training;;;;;;
15;CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1;CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ;CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ;acetylmethadol (levacetylmethadol, alphacetylmethadol, betacetylmethadol );1;;Adenot name levacetylmethadol and they have same simple SMILES;1,58;1,68;0,00;1,41;3,05;353,50;29,54;4,96;3,17;0;3;999;9,2;0;0,984;0,000;0,000;0,016;9;0,32;Training;;;;;;
16;CC(C)CC(=O)OC1C=C2C(C(OC=C2COC(C)=O)OC(=O)CC(C)(C)OC(C)=O)C21CO2;CC(C)CC(=O)OC2C=C1C(C(OC=C1COC(C)=O)OC(=O)CC(C)(C)OC(C)=O)C23CO3 ;CC(C)CC(=O)OC2C=C1C(C(OC=C1COC(C)=O)OC(=O)CC(C)(C)OC(C)=O)C23CO3 ;acevaltrate;1;;;1,42;3,30;0,10;2,23;3,49;480,50;136,19;2,57;2,57;0;10;999;-999;0;0,000;0,000;0,000;1,000;13;0,70;Training;;;;;;
17;C[C@@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]2C[C@H]2OC(O[C@]21C(=O)CO)C=C;CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC5OC(OC45C(=O)CO)C=C ;CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC5OC(OC45C(=O)CO)C=C ;acrocinonide;1;;;2,30;3,47;0,43;2,39;3,10;432,48;93,06;1,76;1,76;2;6;999;-999;0;0,000;0,000;0,000;1,000;3;0,24;Training;;;;;;
18;NC1=Nc2n(cnc2C(=O)N1)COCCO;NC1=Nc2n(cnc2C(=O)N1)COCCO;NC1=Nc2n(cnc2C(=O)N1)COCCO;acyclovir (aciclovir);1;;;1,81;1,94;0,83;2,21;1,52;225,20;114,76;-1,45;-1,46;4;8;9,4;2,2;0;0,000;0,010;0,000;0,990;4;0,87;Training;;;;;;
19;Clc1ccc(cc1)OCC(=O)OCCNC12CC3CC(CC(C3)C1)C2;Clc4ccc(OCC(=O)OCCNC23CC1CC(CC(C1)C2)C3)cc4 ;Clc4ccc(OCC(=O)OCCNC23CC1CC(CC(C1)C2)C3)cc4 ;adafenoxate;1;;;1,68;1,71;0,19;1,25;2,72;363,88;47,56;4,50;3,46;1;4;999;8,4;0;0,909;0,000;0,000;0,091;8;0,53;Training;;;;;;
20;O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2;O=C(NCCN1CCN(CC1)c2ncccn2)C45CC3CC(CC(C3)C4)C5 ;O=C(NCCN1CCN(CC1)c2ncccn2)C45CC3CC(CC(C3)C4)C5 ;adatanserin;1;;;2,06;2,39;0,16;2,12;2,91;369,50;61,36;2,58;2,17;1;6;999;7,6;0;0,613;0,000;0,000;0,387;5;0,48;Training;;;;;;
21;CC(N)C(=O)OC(C)(C)Cc1ccc(cc1)Cl;CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1 ;CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1 ;alaproclate;1;;;1,14;1,40;0,27;1,07;2,00;255,74;52,32;2,67;2,36;2;3;999;7,4;0;0,500;0,000;0,000;0,500;5;0,28;Training;;;;;;
22;CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@@H]3[C@H](Cl)CC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;CCC(=O)OCC(=O)C3(OC(=O)CC)C(C)CC4C2C(Cl)CC1=CC(=O)C=CC1(C)C2C(O)CC34C ;CCC(=O)OCC(=O)C3(OC(=O)CC)C(C)CC4C2C(Cl)CC1=CC(=O)C=CC1(C)C2C(O)CC34C ;alclometasone-dipropionate;1;;;2,08;3,68;0,27;2,21;3,89;521,04;106,97;3,94;3,94;1;7;999;-999;0;0,000;0,000;0,000;1,000;8;0,28;Training;;;;;;
23;CCCN(CCC)C1Cc2cccc3cc(cc(c23)C1)O;CCCN(CCC)C1Cc2cccc3cc(O)cc(C1)c23 ;CCCN(CCC)C1Cc2cccc3cc(O)cc(C1)c23 ;alentemol;1;;;2,01;1,52;0,50;1,09;2,40;283,41;23,47;5,03;3,33;1;2;9,4;9,1;0;0,971;0,000;0,010;0,019;5;0,33;Training;;;;;;
24;C[C@@]12CC[C@@H](O)C[C@@H]2CC[C@H]2[C@@H]3CC[C@H](C(=O)CO)[C@@]3(C)CC(=O)[C@@H]21;CC13CCC(O)CC1CCC4C2CCC(C(=O)CO)C2(C)CC(=O)C34 ;CC13CCC(O)CC1CCC4C2CCC(C(=O)CO)C2(C)CC(=O)C34 ;alfadolone;1;;;1,59;2,78;0,48;1,76;2,78;348,48;74,60;2,69;2,69;2;4;999;-999;0;0,000;0,000;0,000;1,000;2;0,37;Training;;;;;;
25;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C;CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2C(=O)CC34C ;CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2C(=O)CC34C ;alfaxalone (renanolone);1;;They have has same SMILES;1,43;2,61;0,27;1,50;2,72;332,48;54,37;3,37;3,37;1;3;999;-999;0;0,000;0,000;0,000;1,000;1;0,70;Training;;;;;;
26;CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c2ccccc2)C1=O;CCC(=O)N(c1ccccc1)C3(CCN(CCn2nnn(CC)c2=O)CC3)COC ;CCC(=O)N(c1ccccc1)C3(CCN(CCn2nnn(CC)c2=O)CC3)COC ;alfentanil;1;;;2,18;2,58;0,00;3,56;3,26;416,52;81,05;1,06;1,01;0;9;999;6,5;0;0,112;0,000;0,000;0,888;9;2,46;Training;;;;;;
27;CC(=O)[C@]12OC(C)(C)O[C@@H]2C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;CC(=O)C14OC(C)(C)OC1CC5C3CCC2=CC(=O)CCC2(C)C3CCC45C ;CC(=O)C14OC(C)(C)OC1CC5C3CCC2=CC(=O)CCC2(C)C3CCC45C ;algestone-acetonide;1;;;1,69;3,00;0,05;1,73;3,05;386,52;52,60;3,67;3,67;0;4;999;-999;0;0,000;0,000;0,000;1,000;1;0,51;Training;;;;;;
28;COC1(F)C(F)(F)C1(F)Cl;COC1(F)C(F)(F)C1(F)Cl ;COC1(F)C(F)(F)C1(F)Cl ;aliflurane;1;;;0,05;0,10;0,00;0,26;0,82;178,51;9,23;1,55;1,55;0;1;999;-999;0;0,000;0,000;0,000;1,000;1;0,38;Training;;;;;;
29;CCCC(C)(O)[C@H]1CC23C=CC1(OC)[C@@H]1Oc4c(ccc5c4C13CCN(CC=C)C2C5)O;CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(O)ccc6CC2N(CCC34c56)CC=C ;CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(O)ccc6CC2N(CCC34c56)CC=C ;alletorphine;1;;;2,04;1,35;0,54;2,15;3,38;437,57;62,16;2,63;2,01;2;5;9,6;7,9;0;0,755;0,002;0,005;0,239;6;0,25;Training;;;;;;
30;CC1OC(=O)N(CC=C)C1=O;CC1OC(=O)N(CC=C)C1=O ;CC1OC(=O)N(CC=C)C1=O ;allomethadione;1;;;0,80;1,46;0,00;1,18;1,13;155,15;46,61;0,11;0,11;0;4;999;-999;0;0,000;0,000;0,000;1,000;2;0,96;Training;;;;;;
31;CNC[C@@H]1CN(C(=O)O1)c1ccc(cc1)OCc1cccc(c1)Cl;CNCC1CN(C(=O)O1)c3ccc(OCc2cccc(Cl)c2)cc3 ;CNCC1CN(C(=O)O1)c3ccc(OCc2cccc(Cl)c2)cc3 ;almoxatone;1;;;2,16;2,46;0,15;1,59;2,52;346,81;50,80;3,01;1,69;1;5;999;8,7;0;0,952;0,000;0,000;0,048;6;0,43;Training;;;;;;
32;CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]1COc2cccc(c2C1)OC;COc3cccc4OCC(CCCNCCCCN2C(=O)CC1(CCCC1)CC2=O)Cc34 ;COc3cccc4OCC(CCCNCCCCN2C(=O)CC1(CCCC1)CC2=O)Cc34 ;alnespirone;1;;;2,03;3,18;0,20;2,06;3,56;442,59;67,87;4,32;1,47;1;6;999;10,6;0;0,999;0,000;0,000;0,001;10;0,28;Training;;;;;;
33;O=C1CCC2(CCC(=O)c3ccccc32)C(=O)N1;O=C3CCC1(CCC(=O)c2ccccc12)C(=O)N3 ;O=C3CCC1(CCC(=O)c2ccccc12)C(=O)N3 ;alonimid;1;;;1,75;2,50;0,36;1,38;1,77;243,26;63,24;0,67;0,66;1;4;9,2;-999;0;0,000;0,016;0,000;0,984;0;0,38;Training;;;;;;
34;CC(=O)NCCn1c(cc(c1C)C=O)C;CC(=O)NCCn1c(C)cc(C=O)c1C ;CC(=O)NCCn1c(C)cc(C=O)c1C ;aloracetam;1;;;1,01;1,74;0,35;0,99;1,69;208,26;51,10;1,17;1,17;1;4;999;-999;0;0,000;0,000;0,000;1,000;4;0,30;Training;;;;;;
35;CC(CC#N)N(C)CC(=O)N(C)c1ccc(cc1C(=O)c1ccccc1F)Cl;CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c2ccccc2F ;CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c2ccccc2F ;alozafone;1;;;2,07;3,20;0,00;1,79;2,98;401,86;64,41;3,23;2,76;0;5;999;7,7;0;0,666;0,000;0,000;0,334;8;0,41;Training;;;;;;
36;CC[C@H]1CN(C)CC[C@]1(OC(=O)CC)c1ccccc1;CCC1CN(C)CCC1(OC(=O)CC)c2ccccc2 ;CCC1CN(C)CCC1(OC(=O)CC)c2ccccc2 ;alphameprodine (betameprodine);1;;They have same simple SMILES;1,16;1,21;0,00;1,23;2,33;275,38;29,54;3,06;1,84;0;3;999;8,6;0;0,941;0,000;0,000;0,059;5;0,26;Training;;;;;;
37;CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1;CCC(O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ;CCC(O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ;alphamethadol;1;;;1,68;1,45;0,28;1,40;2,75;311,46;23,47;3,92;2,13;1;2;999;9,2;0;0,984;0,000;0,000;0,016;7;0,32;Training;;;;;;
38;CNS(=O)(=O)c1cc(c(cc1N)OC)C(=O)NCC1CCCN1CC=C;CNS(=O)(=O)c2cc(C(=O)NCC1CCCN1CC=C)c(OC)cc2N ;CNS(=O)(=O)c2cc(C(=O)NCC1CCCN1CC=C)c(OC)cc2N ;alpiropride;1;;;2,23;3,22;0,80;2,28;2,87;382,48;122,14;1,45;-0,46;4;8;9,7;9,3;0;0,983;0,000;0,005;0,012;8;0,27;Training;;;;;;
39;OC(=O)CN1C(=O)c2cccc3cccc(c23)C1=O;OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23 ;OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23 ;alrestatin;1;;;2,21;2,44;0,43;1,34;1,75;255,23;74,68;0,76;-3,20;1;5;2,9;0,9;1;0,000;1,000;0,000;0,000;2;0,39;Training;;;;;;
40;CCC1(CC)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO;CCC5(CC)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ;CCC5(CC)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ;amcinafal;1;;;2,14;3,54;0,46;2,37;3,43;462,55;93,06;2,82;2,82;2;6;999;-999;0;0,000;0,000;0,000;1,000;4;0,35;Training;;;;;;
41;CC1(O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO)c1ccccc1;CC5(OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO)c6ccccc6 ;CC5(OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO)c6ccccc6 ;amcinafide;1;;;2,80;4,08;0,45;2,46;3,61;496,57;93,06;2,90;2,90;2;6;999;-999;0;0,000;0,000;0,000;1,000;3;0,54;Training;;;;;;
42;CC(=O)OCC(=O)[C@]12OC3(CCCC3)O[C@@H]2C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;CC(=O)OCC(=O)C25OC1(CCCC1)OC2CC6C4CCC3=CC(=O)C=CC3(C)C4(F)C(O)CC56C ;CC(=O)OCC(=O)C25OC1(CCCC1)OC2CC6C4CCC3=CC(=O)C=CC3(C)C4(F)C(O)CC56C ;amcinonide;1;;;2,31;4,09;0,29;2,54;3,62;502,57;99,13;3,19;3,19;1;7;999;-999;0;0,000;0,000;0,000;1,000;4;0,42;Training;;;;;;
43;CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)COC;CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC ;CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC ;amelometasone;1;;;1,84;3,08;0,27;2,13;3,49;462,55;89,90;2,86;2,86;1;6;999;-999;0;0,000;0,000;0,000;1,000;6;0,40;Training;;;;;;
44;Cc1cccc(c1NC(=O)c1ccc(cc1)N)C;Cc1cccc(C)c1NC(=O)c2ccc(N)cc2 ;Cc1cccc(C)c1NC(=O)c2ccc(N)cc2 ;ameltolide;1;;;1,84;1,95;0,50;0,95;1,96;240,30;55,12;2,17;2,17;3;3;999;2,4;0;0,000;0,000;0,000;1,000;2;0,28;Training;;;;;;
45;CC(C)n1cc2c3c(cccc13)[C@H]1C[C@H](CN(C)[C@@H]1C2)C(=O)NC1CCCCC1;CC(C)n3cc4CC1C(CC(CN1C)C(=O)NC2CCCCC2)c5cccc3c45 ;CC(C)n3cc4CC1C(CC(CN1C)C(=O)NC2CCCCC2)c5cccc3c45 ;amesergide;1;;;2,47;2,36;0,20;1,52;3,23;393,56;37,27;4,50;4,44;1;4;999;6,6;0;0,137;0,000;0,000;0,863;3;0,25;Training;;;;;;
46;CC(Cc1ccccc1)NC(C#N)c1ccccc1;CC(Cc1ccccc1)NC(C#N)c2ccccc2 ;CC(Cc1ccccc1)NC(C#N)c2ccccc2 ;amfetaminil;1;;;1,65;1,81;0,23;0,83;2,14;250,34;35,82;3,16;3,16;1;2;999;4,9;0;0,003;0,000;0,000;0,997;6;0,65;Training;;;;;;
47;OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12;OC(=O)CCCCCCNC2c1ccccc1CCc3ccccc23 ;OC(=O)CCCCCCNC2c1ccccc1CCc3ccccc23 ;amineptine;1;;;1,94;1,89;0,68;0,96;2,80;337,45;49,33;4,76;2,26;2;3;4,9;10,6;1;0,003;0,001;0,996;0,000;8;0,77;Training;;;;;;
48;CCN1CCCC1CNC(=O)c1cc(c(cc1OC)N)S(=O)(=O)CC;CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC ;CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC ;amisulpride;1;;;1,90;2,93;0,57;1,97;2,81;369,48;110,11;1,33;-0,57;3;7;999;9,3;0;0,988;0,000;0,000;0,012;7;0,29;Training;;;;;;
49;C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc12;CN(C)(=O)CCC=C2c1ccccc1CCc3ccccc23 ;CN(C)(=O)CCC=C2c1ccccc1CCc3ccccc23 ;amitriptylinoxide;1;;;1,61;1,53;0,00;0,51;2,46;293,40;17,07;5,81;5,81;0;2;999;-999;0;0,000;0,000;0,000;1,000;3;0,32;Training;;;;;;
50;CC(C)CCOC(CN1CCCC1)c1ccccc1;CC(C)CCOC(CN1CCCC1)c2ccccc2 ;CC(C)CCOC(CN1CCCC1)c2ccccc2 ;amixetrine;1;;;1,00;0,98;0,00;1,10;2,32;261,40;12,47;3,83;3,22;0;2;999;7,9;0;0,760;0,000;0,000;0,240;7;0,54;Training;;;;;;
51;CCNC(=O)N1CCN(CCCC(c2ccc(cc2)F)c2ccc(cc2)F)CC1;CCNC(=O)N3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3 ;CCNC(=O)N3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3 ;amperozide;1;;;1,87;2,16;0,20;1,75;3,12;401,49;35,58;4,59;4,47;1;4;999;6,9;0;0,240;0,000;0,000;0,760;7;0,74;Training;;;;;;
52;Nc1cccc(c1)N1C=CC=CC1=O;Nc1cccc(c1)n2ccccc2=O ;Nc1cccc(c1)n2ccccc2=O ;amphenidone;1;;;1,69;1,82;0,25;1,11;1,44;186,21;46,33;1,02;1,02;2;3;999;3,2;0;0,000;0,000;0,000;1,000;1;0,27;Training;;;;;;
53;CC(N)Cc1ccccc1;CC(N)Cc1ccccc1 ;CC(N)Cc1ccccc1 ;amphetamine;1;;adenot names dexamphetamine and amfetamine;0,91;0,93;0,19;0,69;1,24;135,21;26,02;1,66;-0,58;2;1;999;9,7;0;0,995;0,000;0,000;0,005;2;0,45;Training;;;;;;
54;CN(C)c1cnccn1;CN(C)c1cnccn1 ;CN(C)c1cnccn1 ;ampyzine;1;;;0,89;1,15;0,00;1,06;1,02;123,16;29,02;1,14;1,14;0;3;999;3,3;0;0,000;0,000;0,000;1,000;1;0,32;Training;;;;;;
55;CCC(C)(C)O;CCC(C)(C)O ;CCC(C)(C)O ;amylene-hydrate;1;;;0,18;0,34;0,30;0,52;0,87;88,15;20,23;1,15;1,15;1;1;999;-999;0;0,000;0,000;0,000;1,000;1;0,67;Training;;;;;;
56;CCOC(=O)C1(CCN(CCc2ccc(cc2)N)CC1)c1ccccc1;CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3 ;CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3 ;anileridine;1;;;2,04;2,04;0,26;1,60;2,90;352,47;55,56;3,40;3,04;2;4;999;7,5;0;0,557;0,000;0,000;0,443;7;0,34;Training;;;;;;
57;COc1ccc(cc1)C(=O)N1CCCC1=O;COc1ccc(cc1)C(=O)N2CCCC2=O ;COc1ccc(cc1)C(=O)N2CCCC2=O ;aniracetam;1;;;1,22;1,76;0,02;1,10;1,64;219,24;46,61;1,33;1,33;0;4;999;-999;0;0,000;0,000;0,000;1,000;2;0,24;Training;;;;;;
58;COc1ccccc1N1CCN(CCCOc2cc3c(cc2OC)OC(=O)C(=C3C)C)CC1;COc2cc1oc(=O)c(C)c(C)c1cc2OCCCN3CCN(CC3)c4ccccc4OC ;COc2cc1oc(=O)c(C)c(C)c1cc2OCCCN3CCN(CC3)c4ccccc4OC ;anseculin;1;;;2,42;2,53;0,01;2,07;3,49;452,54;60,47;4,60;4,19;0;7;999;7,6;0;0,613;0,000;0,000;0,387;8;0,40;Training;;;;;;
59;CCCNC(=O)c1ccc2c(c1)N([C@H](C)CN1CCCC1)c1ccccc1S2;CCCNC(=O)c4ccc3Sc1ccccc1N(CCN2CCCC2)c3c4 ;CCCNC(=O)c4ccc3Sc1ccccc1N(CCN2CCCC2)c3c4 ;apadoline;1;;;2,60;2,46;0,28;1,59;2,99;381,53;60,88;4,29;2,78;1;4;999;8,9;0;0,969;0,000;0,000;0,031;6;0,30;Training;;;;;;
60;CN1CCc2cccc3c2[C@H]1Cc1ccc(c(c31)O)O;CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34 ;CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34 ;apomorphine;1;;;2,16;1,90;0,90;1,33;2,03;267,32;43,70;2,59;2,16;2;3;8,9;7,6;0;0,594;0,012;0,019;0,375;0;0,63;Training;;;;;;
